YEAR,GoogleKnowlege_OccupationShow,Group,Raw_Guest_List
1999,actor,Acting,1/11/99
1999,Comedian,Comedy,1/12/99
1999,television actress,Acting,1/13/99
1999,film actress,Acting,1/14/99
1999,actor,Acting,1/18/99
1999,actor,Acting,1/19/99
1999,Singer-lyricist,Musician,1/20/99
1999,model,Media,1/21/99
1999,actor,Acting,1/25/99
1999,stand-up comedian,Comedy,1/26/99
1999,actress,Acting,1/27/99
1999,actor,Acting,1/28/99
1999,television actress,Acting,10/18/99
1999,Comedian,Comedy,10/19/99
1999,actress,Acting,10/20/99
1999,actress,Acting,10/21/99
1999,actress,Acting,10/25/99
1999,comedian,Comedy,10/26/99
1999,actress,Acting,10/27/99
1999,Singer-songwriter,Musician,10/28/99
1999,actor,Acting,10/4/99
1999,television personality,Media,10/5/99
1999,actress,Acting,10/6/99
1999,Comic,Comedy,10/7/99
1999,actor,Acting,11/1/99
1999,actress,Acting,11/15/99
1999,Singer-songwriter,Musician,11/16/99
1999,actress,Acting,11/17/99
1999,comedian,Comedy,11/18/99
1999,actress,Acting,11/2/99
1999,rock band,Musician,11/29/99
1999,musician,Musician,11/3/99
1999,Film actor,Acting,11/30/99
1999,Model,Media,11/4/99
1999,television actress,Acting,11/8/99
1999,actress,Acting,11/9/99
1999,actress,Acting,12/1/99
1999,journalist,Media,12/13/99
1999,actress,Acting,12/14/99
1999,NA,NA,12/15/99
1999,comedian,Comedy,12/16/99
1999,actor,Acting,12/2/99
1999,actor,Acting,12/20/99
1999,singer-songwriter,Musician,12/21/99
1999,actor,Acting,12/6/99
1999,us senator,Politician,12/7/99
1999,us senator,Politician,12/8/99
1999,actor,Acting,12/9/99
1999,comedian,Comedy,2/1/99
1999,actress,Acting,2/10/99
1999,film actor,Acting,2/11/99
1999,actress,Acting,2/16/99
1999,comedian,Comedy,2/17/99
1999,actor,Acting,2/18/99
1999,actor,Acting,2/2/99
1999,television actress,Acting,2/3/99
1999,actor,Acting,2/4/99
1999,actress,Acting,2/8/99
1999,actor,Acting,2/9/99
1999,pianist,Musician,3/1/99
1999,Vocalist,Musician,3/10/99
1999,rock band,Musician,3/11/99
1999,actor,Acting,3/11/99
1999,Film actor,Acting,3/15/99
1999,musician,Musician,3/16/99
1999,writer,Media,3/17/99
1999,actor,Acting,3/17/99
1999,actor,Acting,3/18/99
1999,actor,Acting,3/2/99
1999,actress,Acting,3/22/99
1999,Stand-up comedian,Comedy,3/23/99
1999,actress,Acting,3/24/99
1999,actress,Acting,3/25/99
1999,Film director,Media,3/29/99
1999,actress,Acting,3/3/99
1999,actor,Acting,3/30/99
1999,actress,Acting,3/31/99
1999,actor,Acting,3/4/99
1999,actor,Acting,3/8/99
1999,actor,Acting,3/9/99
1999,actor,Acting,4/1/99
1999,actor,Acting,4/12/99
1999,film actor,Acting,4/13/99
1999,actor,Acting,4/14/99
1999,actress,Acting,4/15/99
1999,actress,Acting,4/19/99
1999,actor,Acting,4/20/99
1999,actress,Acting,4/21/99
1999,stand-up comedian,Comedy,4/22/99
1999,actor,Acting,4/26/99
1999,actress,Acting,4/27/99
1999,singer,Musician,4/28/99
1999,comedian,Comedy,4/29/99
1999,actor,Acting,5/10/99
1999,actress,Acting,5/11/99
1999,actor,Acting,5/12/99
1999,actor,Acting,5/13/99
1999,actress,Acting,5/17/99
1999,Comedian,Comedy,5/18/99
1999,actress,Acting,5/19/99
1999,actor,Acting,5/20/99
1999,television actress,Acting,5/24/99
1999,actress,Acting,5/25/99
1999,actress,Acting,5/26/99
1999,actor,Acting,5/27/99
1999,actor,Acting,6/10/99
1999,actor,Acting,6/14/99
1999,actor,Acting,6/15/99
1999,actor,Acting,6/16/99
1999,actress,Acting,6/17/99
1999,film actress,Acting,6/21/99
1999,television host,Media,6/22/99
1999,actor,Acting,6/23/99
1999,Stand-up comedian,Comedy,6/24/99
1999,Comedian,Comedy,6/28/99
1999,actor,Acting,6/29/99
1999,actress,Acting,6/30/99
1999,singer,Musician,6/7/99
1999,comedian,Comedy,6/8/99
1999,actor,Acting,6/9/99
1999,actor,Acting,7/1/99
1999,televison actor,Acting,7/12/99
1999,muppet,Media,7/13/99
1999,actor,Acting,7/14/99
1999,Stand-up comedian,Comedy,7/15/99
1999,actress,Acting,7/19/99
1999,stand-up comedian,Comedy,7/20/99
1999,NA,NA,7/21/99
1999,actress,Acting,7/22/99
1999,singer,Musician,7/26/99
1999,actress,Acting,7/27/99
1999,Vocalist,Musician,7/28/99
1999,film actress,Acting,7/29/99
1999,comedian,Comedy,8/10/99
1999,actor,Acting,8/11/99
1999,director,Media,8/12/99
1999,american television personality,Media,8/16/99
1999,actress,Acting,8/17/99
1999,actress,Acting,8/18/99
1999,actor,Acting,8/19/99
1999,actress,Acting,8/2/99
1999,actress,Acting,8/23/99
1999,rapper,Musician,8/24/99
1999,singer-songwriter,Musician,8/25/99
1999,actress,Acting,8/26/99
1999,actor,Acting,8/3/99
1999,actor,Acting,8/4/99
1999,actor,Acting,8/5/99
1999,actor,Acting,8/9/99
1999,comedian,Comedy,9/13/99
1999,actor,Acting,9/14/99
1999,actor,Acting,9/15/99
1999,stand-up comedian,Comedy,9/16/99
1999,actor,Acting,9/20/99
1999,singer,Musician,9/21/99
1999,comedian,Comedy,9/22/99
1999,actor,Acting,9/23/99
1999,Stand-up comedian,Comedy,9/27/99
1999,actress,Acting,9/28/99
1999,Comedian,Comedy,9/29/99
